permanent_id,authority_citation,requirement_name,approved_behavior,profile,platform,final_proof_layer,L1_code,L1_status,L1_obligation,L1_evidence_types,L2_code,L2_status,L2_obligation,L2_evidence_types,L3_code,L3_status,L3_obligation,L3_evidence_types,L4_code,L4_status,L4_obligation,L4_evidence_types,L5_code,L5_status,L5_obligation,L5_evidence_types,L6_code,L6_status,L6_obligation,L6_evidence_types,L7_code,L7_status,L7_obligation,L7_evidence_types
KB-06,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-06,Global keyboard — Ctrl+M — Ctrl+M,User architecture excludes obsolete Messages as a user destination.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-07,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-07,Global keyboard — Ctrl+P — Ctrl+P,NO APPROVED SPEC,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-08,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-08,Global keyboard — Ctrl+K — Ctrl+K,Global Search shortcut focuses/opens Search.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-09,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-09,Global keyboard — Bare ? — Bare ?,Quick Reference may open with `?` only when focus is not in a text field; typing `?` must remain normal.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-01,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-01,Route/screen state — ScreenId translate,Talk to AI is the primary approved conversation/composer destination.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-02,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-02,Route/screen state — ScreenId home,No separate Home destination is approved in the user-site architecture.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-03,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-03,Route/screen state — ScreenId dashboard,Insights owns Overview/Usage/Activity/Communication Patterns; no separate Dashboard destination.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-04,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-04,Route/screen state — ScreenId messages,No separate Messages destination is approved in the user-site architecture.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-05,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-05,Route/screen state — ScreenId archive,"Archived sessions belong under Sessions, not a separate Archive destination.",visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-06,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-06,Route/screen state — ScreenId resources,Techniques should open the actual technique manager; project resources belong inside Projects.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-07,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-07,Route/screen state — ScreenId projects,Projects must be real project records with project-specific Tasks/Resources/Integrations.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-08,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-08,Route/screen state — ScreenId integrations,Integrations are project-specific and AI Connections are managed in Settings; no generic explanatory top-level destination is sufficient.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ROUTE-09,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ROUTE-09,Route/screen state — ScreenId tasks,"Tasks are project-specific actionable tasks, not a hidden heuristic extraction screen.",visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
